년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2021-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,1537,11,61,49883,0,2167,38796
2021-01,AAL,AA,아메리칸항공,국제,DFW,도착,부정기,화물,0,0,0,380084,0,14966,0
2021-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,1759,10,38,149129,0,8450,44108
2021-01,AAL,AA,아메리칸항공,국제,DFW,출발,부정기,화물,0,0,0,412029,0,15257,0
2021-01,AAL,AA,아메리칸항공,국제,LAX,도착,부정기,화물,0,0,0,903836,0,26659,0
2021-01,AAL,AA,아메리칸항공,국제,PEK,출발,부정기,화물,0,0,0,188369,0,0,0
2021-01,AAL,AA,아메리칸항공,국제,PVG,출발,부정기,화물,0,0,0,376967,0,66,0
2021-01,AAR,OZ,아시아나항공,국제,ADD,출발,부정기,여객,268,0,0,0,0,0,60
2021-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,462,7,12,2572,2400,0,10833
2021-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,269,7,17,1334,0,0,8827
2021-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,729402,198887,0,0
2021-01,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,214036,134222,0,0
2021-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,47,0,0,0
2021-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,446123,83823,0,0
2021-01,AAR,OZ,아시아나항공,국제,ATL,도착,부정기,화물,0,0,0,247187,52437,0,0
2021-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,330970,116527,0,0
2021-01,AAR,OZ,아시아나항공,국제,ATL,출발,부정기,화물,0,0,0,519461,113677,0,0
2021-01,AAR,OZ,아시아나항공,국제,AUH,도착,부정기,여객,99,0,0,0,0,0,1089
2021-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,화물,0,0,0,372623,144554,0,0
2021-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,128,4,73,369975,133071,0,6488
2021-01,AAR,OZ,아시아나항공,국제,BKK,도착,부정기,여객,0,0,0,15101,4808,0,0
2021-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,화물,0,0,0,125672,46388,1993,0
2021-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,618,7,172,365157,43718,28020,18946
2021-01,AAR,OZ,아시아나항공,국제,BKK,출발,부정기,여객,147,1,0,12231,3619,1850,2847
2021-01,AAR,OZ,아시아나항공,국제,BLR,도착,부정기,여객,161,1,0,0,0,0,1980
2021-01,AAR,OZ,아시아나항공,국제,BLR,출발,부정기,여객,100,1,0,0,0,0,4519
2021-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,1027798,158102,0,0
2021-01,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,89538,82996,0,0
2021-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,1221325,943081,65251,0
2021-01,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,화물,0,0,0,100982,38362,38110,0
2021-01,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,여객,22,0,0,0,0,0,1132
2021-01,AAR,OZ,아시아나항공,국제,CAN,출발,부정기,화물,0,0,0,80965,10957,5969,0
2021-01,AAR,OZ,아시아나항공,국제,CAN,출발,부정기,여객,188,0,0,0,0,0,5710
2021-01,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,848,2,79,133371,78699,4488,20114
2021-01,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,813,2,63,140890,32796,9279,45658
2021-01,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,468,1,57,26598,0,26598,11229
2021-01,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,1469,8,0,18440,129,18291,30950
2021-01,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,180223,120806,0,0
