년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2020-01,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,5876,34,1761,83773,0,11024,152262
2020-01,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,6274,25,2454,348933,0,91468,165432
2020-01,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,1206,10,0,6005,0,0,5630
2020-01,AAR,OZ,아시아나항공,국내,PUS,도착,정기,여객,5899,16,0,0,0,0,110529
2020-01,AAR,OZ,아시아나항공,국내,PUS,출발,정기,여객,5005,22,0,0,0,0,89933
2020-01,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,1310,12,293,9614,9606,0,25848
2020-01,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,1715,10,548,93031,67342,5824,45977
2020-01,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,271560,144649,0,0
2020-01,AAR,OZ,아시아나항공,국제,ANC,도착,부정기,화물,0,0,0,66914,8813,0,0
2020-01,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,287,0,0,0
2020-01,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,510463,256125,0,0
2020-01,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,364381,240849,5185,0
2020-01,AAR,OZ,아시아나항공,국제,BCN,도착,정기,여객,4710,5,351,113679,15958,0,89197
2020-01,AAR,OZ,아시아나항공,국제,BCN,출발,정기,여객,4693,2,168,121503,101202,0,72071
2020-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,화물,0,0,0,131696,77963,0,0
2020-01,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,15592,47,3388,212597,77574,0,306107
2020-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,화물,0,0,0,72761,68205,0,0
2020-01,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,16134,59,3139,322640,85204,24165,305954
2020-01,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,918083,215279,0,0
2020-01,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,1315,0,0,0
2020-01,AAR,OZ,아시아나항공,국제,CAI,도착,부정기,여객,1167,0,0,0,0,0,19790
2020-01,AAR,OZ,아시아나항공,국제,CAI,출발,부정기,여객,1462,0,0,0,0,0,23396
2020-01,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,990559,860888,28124,0
